1.26416E+17,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple
,,,
1.26403E+17,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
,,,
1.26397E+17,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
,,,
1.2638E+17,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple
,,,
1.26378E+17,Great up close & personal event @Apple tonight in Regent St store!,positive,apple
,,,
1.26374E+17,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple
,,,
1.26366E+17,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple
,,,
1.26361E+17,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
,,,
1.2636E+17,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple
,,,
1.26358E+17,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
,,,
1.26342E+17,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,apple
,,,
1.26326E+17,@DailyDealChat @apple Thanks!!,positive,apple
,,,
1.26324E+17,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,positive,apple
,,,
1.26322E+17,@apple @siri is efffing amazing!!,positive,apple
,,,
1.26318E+17,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
,,,
1.26315E+17,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
,,,
1.26315E+17,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,positive,apple
,,,
1.26312E+17,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,positive,apple
,,,
1.26308E+17,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,positive,apple
,,,
1.26303E+17,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,positive,apple
,,,
1.26302E+17,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,positive,apple
,,,
1.26288E+17,At the bus with my iPhone ;) thxx @apple,positive,apple
,,,
1.26285E+17,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",positive,apple
,,,
1.26264E+17,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,positive,apple
,,,
